Timestamp,RespondentID,Age,Gender,Q1: Satisfaction (1-5),Q2: Recommend (Yes/No),Q3: Service Quality (1-5),Q4: Price Satisfaction (1-5),Q5: Product Variety (1-5),Q6: Support Rating (1-5),Q7: Delivery Speed (1-5),Q8: Website Usability (1-5),Q9: Overall Experience (1-5),Q10: Additional Comments
2023-01-01 08:00:00,1001,25,Male,5,Yes,5,4,5,5,4,4,5,Great service!
2023-01-01 08:05:00,1002,32,Female,4,Yes,4,3,4,4,3,3,4,Good overall but could improve website usability.
2023-01-01 08:10:00,1003,28,Male,3,No,3,3,3,2,3,3,3,Average experience.
2023-01-01 08:15:00,1004,45,Female,5,Yes,5,5,5,5,5,5,5,Excellent in every way!
2023-01-01 08:20:00,1005,22,Male,2,No,2,2,2,1,2,2,2,Not satisfied with support.
2023-01-01 08:25:00,1006,37,Female,4,Yes,4,4,4,4,4,4,4,Consistent performance.
2023-01-01 08:30:00,1007,29,Male,3,No,3,3,3,3,3,3,3,Could be better.
2023-01-01 08:35:00,1008,31,Female,5,Yes,5,5,4,5,4,5,5,Really impressed with product variety.
2023-01-01 08:40:00,1009,40,Male,4,Yes,4,4,4,4,4,4,4,Satisfied overall.
2023-01-01 08:45:00,1010,27,Female,3,No,3,2,3,3,2,3,3,Some issues with delivery speed.
2023-01-01 08:50:00,1011,34,Male,5,Yes,5,5,5,5,5,5,5,Outstanding service!
2023-01-01 08:55:00,1012,30,Female,4,Yes,4,4,4,4,4,4,4,Good job overall.
2023-01-01 09:00:00,1013,26,Male,2,No,2,2,2,2,2,2,2,Disappointed with quality.
2023-01-01 09:05:00,1014,38,Female,3,No,3,3,3,3,3,3,3,Average service.
2023-01-01 09:10:00,1015,33,Male,4,Yes,4,4,4,4,4,4,4,Quite satisfactory.
2023-01-01 09:15:00,1016,29,Female,5,Yes,5,5,5,5,5,5,5,Exceptional experience!
2023-01-01 09:20:00,1017,41,Male,3,No,3,3,3,3,3,3,3,Not up to the mark.
2023-01-01 09:25:00,1018,35,Female,4,Yes,4,4,4,4,4,4,4,Satisfied with the service.
2023-01-01 09:30:00,1019,28,Male,5,Yes,5,5,5,5,5,5,5,Highly recommended.
2023-01-01 09:35:00,1020,32,Female,3,No,3,3,3,3,3,3,3,There is room for improvement.
2023-01-01 09:40:00,1021,27,Male,4,Yes,4,4,4,4,4,4,4,Happy with the product.
2023-01-01 09:45:00,1022,39,Female,2,No,2,2,2,2,2,2,2,Not happy with delivery.
2023-01-01 09:50:00,1023,31,Male,5,Yes,5,5,5,5,5,5,5,Impressed by support.
2023-01-01 09:55:00,1024,36,Female,4,Yes,4,4,4,4,4,4,4,Solid performance overall.
2023-01-01 10:00:00,1025,24,Male,3,No,3,3,3,3,3,3,3,Not what I expected.
2023-01-01 10:05:00,1026,30,Female,4,Yes,4,4,4,4,4,4,4,Meets expectations.
2023-01-01 10:10:00,1027,29,Male,2,No,2,2,2,2,2,2,2,Poor service quality.
2023-01-01 10:15:00,1028,33,Female,5,Yes,5,5,5,5,5,5,5,Really excellent!
2023-01-01 10:20:00,1029,26,Male,3,No,3,3,3,3,3,3,3,It was okay.
2023-01-01 10:25:00,1030,35,Female,4,Yes,4,4,4,4,4,4,4,Overall, a good experience.

